弱まる,弱まる,動詞,子音動詞ラ行
弱める,弱める,動詞,母音動詞
来日する,する,動詞,サ変動詞
ランクする,する,動詞,サ変動詞
乱暴する,する,動詞,サ変動詞
理解する,する,動詞,サ変動詞
履修する,する,動詞,サ変動詞
流行する,する,動詞,サ変動詞
流通する,する,動詞,サ変動詞
了承する,する,動詞,サ変動詞
冷凍する,する,動詞,サ変動詞
恋愛する,する,動詞,サ変動詞
連想する,する,動詞,サ変動詞
労働する,する,動詞,サ変動詞
分かれる,分かれる,動詞,母音動詞
湧く,湧く,動詞,子音動詞カ行
沸く,沸く,動詞,子音動詞カ行
わたる,わたる,動詞,子音動詞ラ行
笑い飛ばす,飛ばす,動詞,子音動詞サ行
割り込む,込む,動詞,子音動詞マ行
割り引く,割り引く,動詞,子音動詞カ行
割る,割る,動詞,子音動詞ラ行
