だ,だ,判定詞,
囲う,囲う,動詞,子音動詞ワ行
かこう,かこう,動詞,子音動詞ワ行
考える,考える,動詞,母音動詞
かんがえる,かんがえる,動詞,母音動詞
極まる,極まる,動詞,子音動詞ラ行
囲む,囲む,動詞,子音動詞マ行
かこむ,かこむ,動詞,子音動詞マ行
消える,消える,動詞,母音動詞
きえる,きえる,動詞,母音動詞
究める,究める,動詞,母音動詞
きわめる,きわめる,動詞,母音動詞
重なる,重なる,動詞,子音動詞ラ行
かさなる,かさなる,動詞,子音動詞ラ行
効く,効く,動詞,子音動詞カ行
きく,きく,動詞,子音動詞カ行
窮める,窮める,動詞,母音動詞
重ねる,重ねる,動詞,母音動詞
かさねる,かさねる,動詞,母音動詞
聴く,聴く,動詞,子音動詞カ行
極める,極める,動詞,母音動詞
飾る,飾る,動詞,子音動詞ラ行
かざる,かざる,動詞,子音動詞ラ行
聞く,聞く,動詞,子音動詞カ行
悔いる,悔いる,動詞,母音動詞
くいる,くいる,動詞,母音動詞
数える,数える,動詞,母音動詞
かぞえる,かぞえる,動詞,母音動詞
聞こえる,聞こえる,動詞,母音動詞
きこえる,きこえる,動詞,母音動詞
食う,食う,動詞,子音動詞ワ行
くう,くう,動詞,子音動詞ワ行
固まる,固まる,動詞,子音動詞ラ行
かたまる,かたまる,動詞,子音動詞ラ行
帰す,帰する,動詞,サ変動詞
きす,きす,動詞,サ変動詞
朽ちる,朽ちる,動詞,母音動詞
くちる,くちる,動詞,母音動詞
固める,固める,動詞,母音動詞
かためる,かためる,動詞,母音動詞
着せる,着せる,動詞,母音動詞
きせる,きせる,動詞,母音動詞
酌む,酌む,動詞,子音動詞マ行
くむ,くむ,動詞,子音動詞マ行
語らう,語らう,動詞,子音動詞ワ行
かたらう,かたらう,動詞,子音動詞ワ行
決まる,決まる,動詞,子音動詞ラ行
きまる,きまる,動詞,子音動詞ラ行
組む,組む,動詞,子音動詞マ行
語る,語る,動詞,子音動詞ラ行
かたる,かたる,動詞,子音動詞ラ行
決める,決める,動詞,母音動詞
きめる,きめる,動詞,母音動詞
悔やむ,悔やむ,動詞,子音動詞マ行
くやむ,くやむ,動詞,子音動詞マ行
傾ける,傾ける,動詞,母音動詞
かたむける,かたむける,動詞,母音動詞
着る,着る,動詞,母音動詞
きる,きる,動詞,子音動詞ラ行
食らう,食らう,動詞,子音動詞ワ行
くらう,くらう,動詞,子音動詞ワ行
偏る,偏る,動詞,子音動詞ラ行
かたよる,かたよる,動詞,子音動詞ラ行
切る,切る,動詞,子音動詞ラ行
暮らす,暮らす,動詞,子音動詞サ行
くらす,くらす,動詞,子音動詞サ行
担ぐ,担ぐ,動詞,子音動詞ガ行
かつぐ,かつぐ,動詞,子音動詞ガ行
切れる,切れる,動詞,母音動詞
きれる,きれる,動詞,母音動詞
くる,くる,動詞,カ変動詞
悲しむ,悲しむ,動詞,子音動詞マ行
かなしむ,かなしむ,動詞,子音動詞マ行
兆す,兆す,動詞,子音動詞サ行
きざす,きざす,動詞,子音動詞サ行
繰る,繰る,動詞,子音動詞ラ行
奏でる,奏でる,動詞,母音動詞
かなでる,かなでる,動詞,母音動詞
刻む,刻む,動詞,子音動詞マ行
きざむ,きざむ,動詞,子音動詞マ行
暮れる,暮れる,動詞,母音動詞
くれる,くれる,動詞,母音動詞
被る,被る,動詞,子音動詞ラ行
かぶる,かぶる,動詞,子音動詞ラ行
競う,競う,動詞,子音動詞ワ行
きそう,きそう,動詞,子音動詞ワ行
腐らす,腐らす,動詞,子音動詞サ行
くさらす,くさらす,動詞,子音動詞サ行
構う,構う,動詞,子音動詞ワ行
かまう,かまう,動詞,子音動詞ワ行
鍛える,鍛える,動詞,母音動詞
きたえる,きたえる,動詞,母音動詞
腐る,腐る,動詞,子音動詞ラ行
くさる,くさる,動詞,子音動詞ラ行
腐れる,腐れる,動詞,母音動詞
くされる,くされる,動詞,母音動詞
恋う,恋う,動詞,子音動詞ワ行文語音便形
こう,こう,動詞,子音動詞ワ行文語音便形
断る,断る,動詞,子音動詞ラ行
ことわる,ことわる,動詞,子音動詞ラ行
崩す,崩す,動詞,子音動詞サ行
くずす,くずす,動詞,子音動詞サ行
越える,越える,動詞,母音動詞
こえる,こえる,動詞,母音動詞
好む,好む,動詞,子音動詞マ行
このむ,このむ,動詞,子音動詞マ行
崩れる,崩れる,動詞,母音動詞
くずれる,くずれる,動詞,母音動詞
超える,超える,動詞,母音動詞
拒む,拒む,動詞,子音動詞マ行
こばむ,こばむ,動詞,子音動詞マ行
砕く,砕く,動詞,子音動詞カ行
くだく,くだく,動詞,子音動詞カ行
肥える,肥える,動詞,母音動詞
困る,困る,動詞,子音動詞ラ行
こまる,こまる,動詞,子音動詞ラ行
砕ける,砕ける,動詞,母音動詞
くだける,くだける,動詞,母音動詞
焦がす,焦がす,動詞,子音動詞サ行
こがす,こがす,動詞,子音動詞サ行
堪える,堪える,動詞,母音動詞
こらえる,こらえる,動詞,母音動詞
下す,下す,動詞,子音動詞サ行
くだす,くだす,動詞,子音動詞サ行
焦がれる,焦がれる,動詞,母音動詞
こがれる,こがれる,動詞,母音動詞
転がす,転がす,動詞,子音動詞サ行
ころがす,ころがす,動詞,子音動詞サ行
下る,下る,動詞,子音動詞ラ行
くだる,くだる,動詞,子音動詞ラ行
焦げる,焦げる,動詞,母音動詞
こげる,こげる,動詞,母音動詞
転がる,転がる,動詞,子音動詞ラ行
ころがる,ころがる,動詞,子音動詞ラ行
覆す,覆す,動詞,子音動詞サ行
くつがえす,くつがえす,動詞,子音動詞サ行
越す,越す,動詞,子音動詞サ行
こす,こす,動詞,子音動詞サ行
転げる,転げる,動詞,母音動詞
ころげる,ころげる,動詞,母音動詞
覆る,覆る,動詞,子音動詞ラ行
くつがえる,くつがえる,動詞,子音動詞ラ行
超す,超す,動詞,子音動詞サ行
殺す,殺す,動詞,子音動詞サ行
