だ,だ,判定詞,
まばゆい,まばゆい,形容詞,イ形容詞アウオ段
眩い,眩い,形容詞,形容詞
まぶい,まぶい,形容詞,形容詞
眩しい,眩しい,形容詞,イ形容詞イ段
まぶしい,まぶしい,形容詞,イ形容詞イ段
まめまめしい,まめまめしい,形容詞,形容詞
丸い,丸い,形容詞,イ形容詞アウオ段
まるい,まるい,形容詞,イ形容詞アウオ段
まろい,まろい,形容詞,形容詞
見苦しい,見苦しい,形容詞,イ形容詞イ段
みぐるしい,みぐるしい,形容詞,イ形容詞イ段
短い,短い,形容詞,イ形容詞アウオ段
みじかい,みじかい,形容詞,イ形容詞アウオ段
瑞々しい,瑞々しい,形容詞,イ形容詞イ段
みずみずしい,みずみずしい,形容詞,イ形容詞イ段
みっともない,みっともない,形容詞,イ形容詞アウオ段
醜い,醜い,形容詞,イ形容詞アウオ段
みにくい,みにくい,形容詞,イ形容詞アウオ段
耳新しい,耳新しい,形容詞,イ形容詞イ段
みみあたらしい,みみあたらしい,形容詞,イ形容詞イ段
見良い,見良い,形容詞,形容詞
みよい,みよい,形容詞,形容詞
惨い,惨い,形容詞,イ形容詞アウオ段
むごい,むごい,形容詞,イ形容詞アウオ段
蒸し暑い,蒸し暑い,形容詞,イ形容詞アウオ段
むしあつい,むしあつい,形容詞,イ形容詞アウオ段
難しい,難しい,形容詞,イ形容詞イ段
むずかしい,むずかしい,形容詞,イ形容詞イ段
むつかしい,むつかしい,形容詞,イ形容詞イ段
睦まじい,睦まじい,形容詞,イ形容詞イ段
むつまじい,むつまじい,形容詞,イ形容詞イ段
空しい,空しい,形容詞,イ形容詞イ段
むなしい,むなしい,形容詞,イ形容詞イ段
目敏い,目敏い,形容詞,イ形容詞アウオ段
めざとい,めざとい,形容詞,イ形容詞アウオ段
珍しい,珍しい,形容詞,イ形容詞イ段
めずらしい,めずらしい,形容詞,イ形容詞イ段
目出度い,目出度い,形容詞,イ形容詞アウオ段
めでたい,めでたい,形容詞,イ形容詞アウオ段
めんこい,めんこい,形容詞,形容詞
面倒くさい,面倒くさい,形容詞,イ形容詞アウオ段
めんどくさい,めんどくさい,形容詞,イ形容詞アウオ段
申し訳無い,申し訳無い,形容詞,イ形容詞アウオ段
もうしわけない,もうしわけない,形容詞,イ形容詞アウオ段
勿体無い,勿体無い,形容詞,イ形容詞アウオ段
もったいない,もったいない,形容詞,イ形容詞アウオ段
尤もらしい,尤もらしい,形容詞,形容詞
もっともらしい,もっともらしい,形容詞,形容詞
もどかしい,もどかしい,形容詞,イ形容詞イ段
物憂い,物憂い,形容詞,形容詞
ものうい,ものうい,形容詞,形容詞
物悲しい,物悲しい,形容詞,イ形容詞イ段
ものがなしい,ものがなしい,形容詞,イ形容詞イ段
物寂しい,物寂しい,形容詞,イ形容詞イ段
ものさびしい,ものさびしい,形容詞,イ形容詞イ段
物足りない,物足りない,形容詞,イ形容詞アウオ段
ものたりない,ものたりない,形容詞,イ形容詞アウオ段
物々しい,物々しい,形容詞,イ形容詞イ段
ものものしい,ものものしい,形容詞,イ形容詞イ段
脆い,脆い,形容詞,イ形容詞アウオ段
もろい,もろい,形容詞,イ形容詞アウオ段
やごい,やごい,形容詞,形容詞
優しい,優しい,形容詞,イ形容詞イ段
やさしい,やさしい,形容詞,イ形容詞イ段
安い,安い,形容詞,イ形容詞アウオ段
やすい,やすい,形容詞,イ形容詞アウオ段
やばい,やばい,形容詞,イ形容詞アウオ段
疾しい,疾しい,形容詞,イ形容詞イ段
疚しい,疚しい,形容詞,イ形容詞イ段
やましい,やましい,形容詞,イ形容詞イ段
ややこしい,ややこしい,形容詞,イ形容詞イ段
遣る瀬ない,遣る瀬ない,形容詞,イ形容詞アウオ段
やるせない,やるせない,形容詞,イ形容詞アウオ段
柔らかい,柔らかい,形容詞,イ形容詞アウオ段
やわらかい,やわらかい,形容詞,イ形容詞アウオ段
ゆかしい,ゆかしい,形容詞,イ形容詞イ段
由々しい,由々しい,形容詞,イ形容詞イ段
ゆゆしい,ゆゆしい,形容詞,イ形容詞イ段
緩い,緩い,形容詞,イ形容詞アウオ段
ゆるい,ゆるい,形容詞,イ形容詞アウオ段
良い,良い,形容詞,形容詞
よい,よい,形容詞,形容詞
用心深い,用心深い,形容詞,イ形容詞アウオ段
ようじんぶかい,ようじんぶかい,形容詞,イ形容詞アウオ段
余所余所しい,余所余所しい,形容詞,イ形容詞イ段
よそよそしい,よそよそしい,形容詞,イ形容詞イ段
喜ばしい,喜ばしい,形容詞,イ形容詞イ段
よろこばしい,よろこばしい,形容詞,イ形容詞イ段
よろしい,よろしい,形容詞,イ形容詞イ段
弱い,弱い,形容詞,イ形容詞アウオ段
よわい,よわい,形容詞,イ形容詞アウオ段
拠所ない,拠所ない,形容詞,イ形容詞アウオ段
よんどころない,よんどころない,形容詞,イ形容詞アウオ段
らしい,らしい,形容詞,イ形容詞イ段
凛々しい,凛々しい,形容詞,イ形容詞イ段
りりしい,りりしい,形容詞,イ形容詞イ段
礼儀正しい,礼儀正しい,形容詞,イ形容詞イ段
れいぎただしい,れいぎただしい,形容詞,イ形容詞イ段
若い,若い,形容詞,イ形容詞アウオ段
わかい,わかい,形容詞,イ形容詞アウオ段
分かりにくい,分かりにくい,形容詞,形容詞
わかりにくい,わかりにくい,形容詞,形容詞
分かりやすい,分かりやすい,形容詞,形容詞
わかりやすい,わかりやすい,形容詞,形容詞
若々しい,若々しい,形容詞,イ形容詞イ段
わかわかしい,わかわかしい,形容詞,イ形容詞イ段
わざとらしい,わざとらしい,形容詞,イ形容詞イ段
煩わしい,煩わしい,形容詞,イ形容詞イ段
わずらわしい,わずらわしい,形容詞,イ形容詞イ段
忘れ難い,忘れ難い,形容詞,イ形容詞アウオ段
わすれがたい,わすれがたい,形容詞,イ形容詞アウオ段
忘れっぽい,忘れっぽい,形容詞,形容詞
わすれっぽい,わすれっぽい,形容詞,形容詞
侘しい,侘しい,形容詞,イ形容詞イ段
わびしい,わびしい,形容詞,イ形容詞イ段
割り切れない,割り切れない,形容詞,母音動詞
わりきれない,わりきれない,形容詞,母音動詞
悪い,悪い,形容詞,イ形容詞アウオ段
わるい,わるい,形容詞,イ形容詞アウオ段
悪賢い,悪賢い,形容詞,イ形容詞アウオ段
わるがしこい,わるがしこい,形容詞,イ形容詞アウオ段
んまい,んまい,形容詞,形容詞
大変だ,大変だ,形容詞,形容詞
たいへんだ,たいへんだ,形容詞,形容詞
頑張る,頑張る,動詞,子音動詞ラ行
がんばる,がんばる,動詞,子音動詞ラ行
好きだ,好きだ,形容詞,ナ形容詞
すきだ,すきだ,形容詞,ナ形容詞
壮観だ,壮観だ,形容詞,ナ形容詞
そうかんだ,そうかんだ,形容詞,ナ形容詞
賑やかだ,賑やかだ,形容詞,ナ形容詞
静かだ,静かだ,形容詞,ナ形容詞
絶品だ,絶品だ,形容詞,ナ形容詞
便利だ,便利だ,形容詞,ナ形容詞
安心だ,安心だ,形容詞,ナ形容詞
おしゃれだ,おしゃれだ,形容詞,ナ形容詞
